OGF_ID,AIRPORT_TYPE,STATUS,NAME,OWNER,AIRPORT_IDENT,LATITUDE,LONGITUDE,ELEVATION,NUMBER_OF_PAVED_RUNWAYS,NUMBER_OF_UNPAVED_RUNWAYS,LGTH_LONGEST_DAYTIME_RUNWAY,LGTH_LONGEST_NIGHTTIME_RUNWAY,CONTROL_TOWER_IND,INSTRUMENT_FLIGHT_RULES_IND,VISUAL_FLIGHT_RULES_IND,AIRPORT_LIGHTING,AIRPORT_AREA_HA,COMMENTS,SOURCE_DETAIL,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
73162703,Airport,Unknown,Kingston,<Null>,CYGK,44.2256257,76.5984845,305,0,0,0,0,,,,,268.076,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,59,0,0
73162704,Hospital Heliport,Unknown,Kingston (General Hospital),<Null>,CPJ7,44.2222104,76.4934327,261,0,0,0,0,,,,,1.145,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,60,0,0
73162705,Airport,Unknown,Gananoque,<Null>,CNN8,44.4005276,76.2421699,395,0,0,0,0,,,,,171.436,,Nav Canada,Within 100 metres,,2012/03/28 10:37:57+00,2012/03/29 09:00:55+00,61,0,0
73162706,Hospital Heliport,Unknown,Toronto (St. Michael`s Hospital),<Null>,CTM4,43.6536226,79.3778318,529,0,0,0,0,,,,,1.329,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,62,0,0
73162707,Heliport,Unknown,Borden,<Null>,CYBN,44.2715952,79.9123879,729,0,0,0,0,,,,,0.087,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,63,0,0
73162708,Airport,Unknown,Bradford,<Null>,CPM7,44.1356419,79.6286695,973,0,0,0,0,,,,,42.192,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,64,0,0
73162709,Airport,Unknown,Plevna/Tomvale,<Null>,CNA9,44.9162871,76.934731,890,0,0,0,0,,,,,46.003,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,65,0,0
73162710,Airport,Unknown,Bancroft,<Null>,CNW3,45.0735745,77.8811849,1085,0,0,0,0,,,,,32.362,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,66,0,0
73162711,Hospital Heliport,Unknown,Bancroft (North Hastings District Hospital),<Null>,CPB7,45.0713889,77.8788889,1085,0,0,0,0,,,,,2.222,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,67,0,0
73162712,Hospital Heliport,Unknown,Haliburton (Hospital),<Null>,CNF2,45.0380715,78.5301049,1050,0,0,0,0,,,,,3.586,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,68,0,0
73162713,Airport,Unknown,Haliburton/Stanhope Muni,<Null>,CND4,45.1113427,78.6418809,1066,0,0,0,0,,,,,26.154,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,69,0,0
73162714,Hospital Heliport,Unknown,Minden (Hospital),<Null>,CMI2,44.9251299,78.7302223,905,0,0,0,0,,,,,3.26,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,70,0,0
73162715,Airport,Unknown,Muskoka,<Null>,CYQA,44.9695067,79.3001209,925,0,0,0,0,,,,,327.438,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,71,0,0
73162716,Hospital Heliport,Unknown,Bracebridge (South Muskoka Memorial Hospital),<Null>,CPL2,45.04752,79.3145526,850,0,0,0,0,,,,,4.13,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,72,0,0
73162717,Hospital Heliport,Unknown,Huntsville (Memorial District Hospital),<Null>,CPC9,45.339179,79.2058536,975,0,0,0,0,,,,,17.713,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,73,0,0
73162718,Airport,Unknown,Huntsville/Deerhurst Resort,<Null>,CDH1,45.3533639,79.1538533,1029,0,0,0,0,,,,,88.784,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,74,0,0
73162719,Airport,Unknown,Emsdale,<Null>,CNA4,45.5455506,79.3431766,1150,0,0,0,0,,,,,66.535,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,75,0,0
73162720,Airport,Unknown,Windermere,<Null>,CNW2,45.1617222,79.5362309,746,0,0,0,0,,,,,35.031,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,76,0,0
73162721,Airport,Unknown,South River/Sundridge,<Null>,CPE6,45.8239913,79.3230277,1160,0,0,0,0,,,,,53.866,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,77,0,0
73162722,Airport,Unknown,Parry Sound Area Muni,<Null>,CNK4,45.2600971,79.8345708,832,0,0,0,0,,,,,129.567,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,78,0,0
73162723,Hospital Heliport,Unknown,Parry Sound Medical,<Null>,CRS2,45.3409146,80.0158931,800,0,0,0,0,,,,,7.057,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,79,0,0
73162724,Airport,Unknown,Westport/Rideau Lakes,<Null>,CRL2,44.6649384,76.3994514,500,0,0,0,0,,,,,19.385,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,80,0,0
73162725,Hospital Heliport,Unknown,Perth (Great War Memorial Hospital),<Null>,CNC9,44.9062164,76.2529169,450,0,0,0,0,,,,,3.336,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,81,0,0
73162726,Hospital Heliport,Unknown,Smiths Falls (Community Hospital),<Null>,CNS9,44.9072862,76.0273319,409,0,0,0,0,,,,,2.617,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,82,0,0
73162727,Airport,Unknown,Smiths Falls-Montague (Russ Beach),<Null>,CYSH,44.9463502,75.9401607,416,0,0,0,0,,,,,150.56,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,83,0,0
73162728,Airport,Unknown,Brockville-Thousand Islands Regional Tackaberry,<Null>,CNL3,44.6393042,75.7537574,402,0,0,0,0,,,,,176.743,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,84,0,0
73162729,Airport,Unknown,Carleton Place,<Null>,CNR6,45.1050568,76.1253202,450,0,0,0,0,,,,,30.081,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,85,0,0
73162730,Hospital Heliport,Unknown,Carleton Place (District Memorial Hospital),<Null>,CPN7,45.1415,76.1369217,436,0,0,0,0,,,,,1.762,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,86,0,0
73162731,Heliport,Unknown,Ottawa/Dwyer Hill,<Null>,CYDH,45.1330546,75.9497901,325,0,0,0,0,,,,,41.925,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,87,0,0
73162732,Airport,Unknown,Ottawa/Carp,<Null>,CYRP,45.3190118,76.0253408,382,0,0,0,0,,,,,390.413,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,88,0,0
73162733,Airport,Unknown,Ottawa/Rockcliffe,<Null>,CYRO,45.460063,75.6431568,188,0,0,0,0,,,,,58.641,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,89,0,0
73162734,Hospital Heliport,Unknown,Ottawa (Children`s Hospital),<Null>,CPK7,45.4010503,75.6515092,272,0,0,0,0,,,,,13.251,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,90,0,0
73162735,Airport,Unknown,Ottawa/Macdonald-Cartier Intl,<Null>,CYOW,45.3217489,75.670113,374,0,0,0,0,,,,,1083.446,,Nav Canada,Within 100 metres,,2012/03/28 10:37:57+00,2012/03/29 09:00:55+00,91,0,0
